TurnType,RoadType,EnvType,VisibilityConditions,PedestrianLevel,TrafficLevel,DayNight,WeatherConditions,Speed_limit,New_Speed_Limit
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Sharp turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,46.31
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Wide,City,High,Low,High,Day,Clear,20,50.29
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,24.65
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,Clear,20,36.31
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Sharp turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.03
Intersection,Narrow,Residential,Low,Low,Moderate,Night,Clear,20,132.22
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Intersection,Medium,Residential,Low,Low,Moderate,Night,Rain,20,134.75
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,Low,Low,Low,Day,Rain,20,85.29
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,20,54.22
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Narrow,Residential,High,Low,Low,Day,Clear,20,42.65
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Highway,High,High,Moderate,Day,Rain,20,51.66
Straight,,Highway,High,Low,Low,Day,Clear,20,26.73
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Intersection,Narrow,Residential,High,Low,Low,Day,Rain,20,78.7
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Intersection,Medium,Residential,High,Low,Moderate,Day,Rain,20,44.02
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,26.55
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Straight,,Residential,Low,Low,Moderate,Night,Clear,20,73.38
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Rain,20,41.19
Intersection,Narrow,Residential,High,Low,Moderate,Day,Clear,20,43.19
Gentle turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,20,46.65
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.3
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Intersection,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.94
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Residential,High,High,Moderate,Night,Clear,20,51.81
Gentle turn,Medium,Residential,Low,Low,Moderate,Day,Clear,20,46.81
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Residential,Low,Low,Low,Day,Clear,20,51.04
Intersection,Medium,Residential,High,Low,Moderate,Night,Clear,20,49.85
Intersection,Medium,City,Low,Low,Moderate,Night,Clear,20,99.31
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Day,unknown,20,28.16
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,26.55
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Intersection,Medium,Residential,High,Low,Low,Night,Clear,20,59.87
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,,Highway,High,Low,High,Day,Clear,20,33.98
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Straight,Medium,Highway,Low,Low,Low,Day,Rain,20,71.89
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,20,54.22
Gentle turn,Medium,Highway,Low,Low,Moderate,Day,,20,46.58
Straight,Medium,Residential,Low,Low,Low,Night,Rain,20,133.04
Intersection,Medium,Residential,High,Low,Low,Night,Clear,20,59.87
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Residential,Low,Low,Low,Night,unknown,20,94.0
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Straight,,Residential,High,Low,Moderate,Day,Clear,20,23.97
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Fogg,20,42.8
Sharp turn,Medium,Highway,Low,Moderate,Low,Night,,20,118.22
Intersection,Narrow,Residential,High,Low,Low,Day,Clear,20,51.87
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,27.15
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,,20,31.35
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Narrow,Highway,High,Low,Low,Day,Clear,20,43.61
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Sharp turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,98.92
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Residential,Low,Low,Low,Night,Clear,20,106.67
Straight,Medium,Highway,Low,Low,Low,Night,Clear,20,81.42
Gentle turn,Wide,Residential,High,Low,Moderate,Day,Rain,20,54.22
Straight,Medium,Highway,Low,Low,Moderate,Night,Clear,20,67.79
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,27.15
Intersection,Medium,Highway,Low,Low,Low,Night,Clear,20,99.03
Intersection,Medium,Residential,Low,Low,Low,Night,Clear,20,106.67
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Rain,20,122.02
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Intersection,Narrow,Highway,High,Moderate,Low,Day,Clear,20,53.61
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Intersection,Medium,Highway,High,High,Moderate,Night,Clear,20,58.51
Intersection,Medium,Residential,High,Low,Moderate,Night,Clear,20,49.85
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Narrow,Residential,High,Low,Low,Night,Clear,20,73.28
Gentle turn,Medium,Residential,High,Low,Low,Night,Clear,20,54.22
Gentle turn,Narrow,Highway,High,Moderate,Low,Night,Clear,20,83.41
Gentle turn,Medium,Residential,High,Low,Moderate,Day,,20,28.16
Gentle turn,Medium,City,High,Low,Moderate,Day,Clear,20,29.38
Intersection,Wide,Highway,High,Low,Moderate,Day,Clear,20,36.64
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Gentle turn,,Highway,Low,Low,Low,Night,Rain,20,136.72
Intersection,Medium,Residential,Low,Low,Moderate,Night,Clear,20,88.82
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Residential,Low,Low,Moderate,Day,Rain,20,71.02
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Rain,20,44.37
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Rain,20,135.82
Gentle turn,,Residential,High,Low,Moderate,Day,Clear,20,26.4
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Residential,High,Low,Moderate,Day,,20,31.1
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Low,Day,Rain,20,47.87
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Wide,Highway,Low,Low,Moderate,Day,,20,63.35
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,89.53
Gentle turn,Medium,Highway,Low,Low,Low,Night,Clear,20,89.68
Straight,Medium,Residential,Low,Low,Low,Night,Clear,20,87.7
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Gentle turn,Narrow,Residential,High,Low,Moderate,Day,Rain,20,59.34
Intersection,Medium,Highway,Low,Moderate,Moderate,Night,Clear,20,91.79
Straight,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,26.55
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Residential,Low,High,Moderate,Night,Clear,20,112.28
Gentle turn,Medium,Residential,High,Low,Moderate,Day,unknown,20,28.16
Gentle turn,Medium,Residential,Low,Low,Low,Night,Rain,20,146.54
Straight,Medium,Residential,Low,Moderate,Low,Night,Clear,20,97.62
Intersection,Medium,Residential,Low,Moderate,Moderate,Day,Rain,20,87.29
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Low,Day,Rain,20,44.44
Straight,Medium,Residential,High,Low,Moderate,Day,,20,25.57
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Intersection,Medium,Highway,High,Low,Moderate,Day,,20,28.87
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Rain,20,39.86
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Narrow,Highway,Low,Low,Moderate,Night,Clear,20,111.16
Gentle turn,Medium,Residential,Low,Low,Low,Day,Rain,20,85.29
Gentle turn,Medium,Highway,Low,Moderate,Moderate,Night,Rain,20,126.1
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Residential,High,Low,Moderate,Night,,20,48.39
Sharp turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.32
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Rain,20,47.87
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,,Residential,High,Low,Low,Day,Clear,20,31.71
Intersection,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,98.87
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,,Residential,High,Low,Low,Day,Clear,20,28.79
Intersection,Medium,Highway,Low,Low,Low,Night,Clear,20,99.03
Gentle turn,Wide,Residential,High,Low,Low,Day,,20,46.0
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Rain,20,49.0
Sharp turn,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,98.92
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Straight,Narrow,Residential,High,Low,High,Night,unknown,20,90.66
Gentle turn,Medium,Residential,High,Low,Moderate,Night,Clear,20,45.15
Straight,Narrow,Residential,High,Low,Low,Night,Clear,20,73.28
Gentle turn,Medium,Residential,High,Low,Low,Day,Rain,20,47.87
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Highway,Low,Low,Low,Day,Clear,20,47.39
Straight,Narrow,Highway,Low,Low,Low,Night,Clear,20,121.2
Straight,Medium,Residential,High,Moderate,Moderate,Day,Rain,20,40.28
Straight,,Residential,High,Low,Low,Night,Clear,20,49.47
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,Narrow,Highway,Low,Low,Low,Night,,20,129.91
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Medium,Highway,High,Moderate,Low,Day,Rain,20,49.47
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Rain,20,37.01
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,Low,Low,Low,Night,Clear,20,96.6
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,26.95
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Intersection,Medium,Highway,High,High,Moderate,Day,Clear,20,34.05
Straight,Medium,Highway,High,Low,Low,Day,Rain,20,40.35
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,High,Low,Moderate,Night,Clear,20,41.91
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Intersection,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,29.98
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,20,29.61
Sharp turn,Medium,Highway,High,Low,Moderate,Day,Rain,20,40.89
Gentle turn,Medium,Highway,Low,Low,Low,Day,Clear,20,52.19
Gentle turn,Medium,City,Low,Moderate,Moderate,Day,Rain,20,88.38
Gentle turn,Medium,Residential,Low,Low,Moderate,Day,Rain,20,71.02
Intersection,Medium,Residential,Low,Moderate,Moderate,Night,Clear,20,98.87
Intersection,Narrow,Highway,Low,Low,Low,Night,Clear,20,147.42
Straight,Narrow,Highway,Low,Low,Low,Night,Clear,20,121.2
Intersection,Narrow,Highway,High,Low,Moderate,Day,Clear,20,40.1
Intersection,Medium,Residential,High,Low,Low,Day,Clear,20,34.85
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Intersection,Medium,Highway,High,Low,Low,Day,Rain,20,49.08
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Gentle turn,Medium,Highway,High,Moderate,Low,Day,Clear,20,32.61
Straight,Narrow,Highway,High,Low,Low,Day,Rain,20,60.07
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Highway,High,Moderate,Low,Day,Clear,20,29.61
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Wide,Residential,High,Low,Low,Day,Clear,20,38.97
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Intersection,Narrow,Highway,High,Moderate,Low,Day,unknown,20,57.46
Straight,Wide,Highway,High,Low,Moderate,Night,Clear,20,51.75
Straight,Narrow,Residential,High,Low,Low,Night,Clear,20,73.28
Gentle turn,Medium,Highway,High,Moderate,Low,Day,Clear,20,32.61
Straight,Medium,City,High,Low,Low,Day,Clear,20,32.03
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,,Highway,Low,Low,Low,Night,Rain,20,124.12
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Medium,Residential,High,High,Moderate,Day,Clear,20,30.16
Gentle turn,Medium,Highway,High,Moderate,Moderate,Night,Clear,20,46.65
Straight,Medium,Highway,High,Low,Low,Day,unknown,20,28.51
Gentle turn,Medium,Residential,High,Moderate,Moderate,Night,Clear,20,50.25
Intersection,Medium,Residential,High,Low,Moderate,Night,Clear,20,49.85
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,Clear,20,36.31
Intersection,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.02
Straight,Medium,Residential,Low,Low,High,Night,Clear,20,101.23
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Straight,Medium,Highway,High,Low,Moderate,Day,Clear,20,22.15
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Clear,20,74.67
Straight,Medium,Residential,Low,Low,Moderate,Night,Clear,20,73.02
Intersection,Narrow,Highway,High,Low,Low,Day,Clear,20,48.16
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Moderate,Moderate,Day,Clear,20,27.15
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Straight,Wide,City,Low,Low,Low,Night,Clear,20,133.36
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Highway,High,Low,Low,Day,Clear,20,29.3
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Intersection,Medium,Highway,High,Low,Low,Day,Clear,20,32.35
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Gentle turn,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,29.25
Gentle turn,Narrow,Residential,High,Low,Moderate,Day,Clear,20,39.12
Intersection,Medium,Highway,Low,Low,Low,Day,Clear,20,57.64
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Gentle turn,Medium,Residential,Low,Low,Moderate,Night,Clear,20,80.43
Gentle turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,26.28
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Gentle turn,Medium,Highway,Low,Low,Moderate,Night,Rain,20,113.28
Gentle turn,Narrow,Highway,Low,Moderate,Low,Night,Rain,20,225.44
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Straight,Narrow,Highway,Low,Low,Low,Night,Rain,20,183.87
Straight,Medium,Highway,Low,Low,Low,Day,Clear,20,47.39
Straight,Narrow,Highway,Low,Low,Low,Night,Clear,20,121.2
Intersection,,Highway,High,Low,Low,Day,Clear,20,32.51
Straight,,Residential,High,Low,Low,Day,Clear,20,28.79
Gentle turn,Medium,Residential,High,Low,Low,Day,Rain,20,47.87
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Straight,Medium,Highway,High,Low,Low,Night,Clear,20,45.7
Sharp turn,Medium,Highway,High,Moderate,Low,Day,Clear,20,36.03
Gentle turn,Medium,Highway,High,Low,Low,Day,Rain,20,44.44
Straight,Medium,Highway,High,Low,Low,Day,Clear,20,26.6
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Straight,Medium,Residential,High,Low,Moderate,Day,Clear,20,23.85
Sharp turn,Medium,Residential,High,Low,Moderate,Day,Clear,20,29.03
Straight,Narrow,City,High,Low,Low,Day,Clear,20,47.68
Gentle turn,Medium,Highway,High,Low,Moderate,Day,Clear,20,24.39
Straight,Narrow,Highway,High,Low,Low,Day,Clear,20,39.59
Straight,Medium,Highway,High,High,Low,Day,Clear,20,33.62
Straight,Medium,Residential,High,Low,Low,Night,Clear,20,49.22
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Residential,High,Low,Low,Day,Clear,20,28.65
Straight,Medium,Highway,High,Low,Moderate,Night,Clear,20,38.05
Gentle turn,Medium,Residential,High,Low,Low,Day,Clear,20,31.56
Straight,,Residential,High,Low,Low,Day,Clear,20,28.79
Straight,Medium,Highway,High,Low,Moderate,Day,Rain,20,33.6
Gentle turn,Narrow,Highway,High,Low,Moderate,Day,Clear,20,36.31
Intersection,Narrow,Highway,Low,Low,Low,Day,Clear,20,85.8
Straight,Medium,Residential,High,Low,Low,Day,Rain,20,43.46
Straight,Wide,Highway,Low,Low,Low,Night,Clear,20,110.74
Intersection,Medium,Residential,High,Moderate,Moderate,Day,Clear,20,32.3
Straight,Medium,Highway,Low,Low,Low,Night,Rain,20,123.52
